,Open
2017-07-24,1256.0
2017-07-31,1268.9000244140625
2017-08-07,1258.699951171875
2017-08-14,1288.4000244140625
2017-08-21,1285.199951171875
2017-08-28,1293.5
2017-09-04,1293.5
2017-09-11,1331.0
2017-09-18,1309.800048828125
2017-09-25,1293.0999755859375
2017-10-02,1275.0
2017-10-09,1280.5999755859375
2017-10-16,1302.0
2017-10-23,1274.699951171875
2017-10-30,1270.0
2017-11-06,1269.0
2017-11-13,1277.300048828125
2017-11-20,1274.5999755859375
2017-11-27,1293.800048828125
2017-12-04,1272.5
2017-12-11,1248.4000244140625
2017-12-18,1256.199951171875
2017-12-25,1256.199951171875
2018-01-01,1256.199951171875
2018-01-08,1319.9000244140625
2018-01-15,1319.9000244140625
2018-01-22,1328.4000244140625
2018-01-29,1328.4000244140625
2018-02-05,1331.0999755859375
2018-02-12,1323.800048828125
2018-02-19,1323.800048828125
2018-02-26,1335.0
2018-03-05,1323.5
2018-03-12,1319.4000244140625
2018-03-19,1309.4000244140625
2018-03-26,1348.5
2018-04-02,1327.0
2018-04-09,1333.0
2018-04-16,1341.0
2018-04-23,1334.0
2018-04-30,1309.5999755859375
2018-05-07,1310.5999755859375
2018-05-14,1319.9000244140625
2018-05-21,1287.4000244140625
2018-05-28,1287.4000244140625
2018-06-04,1293.9000244140625
2018-06-11,1299.300048828125
2018-06-18,1280.699951171875
2018-06-25,1270.5999755859375
2018-07-02,1249.9000244140625
2018-07-09,1258.199951171875
2018-07-16,1242.699951171875
2018-07-23,1222.0
2018-07-30,1222.5
2018-08-06,1214.4000244140625
2018-08-13,1207.0
2018-08-20,1184.800048828125
2018-08-27,1210.300048828125
2018-09-03,1210.300048828125
2018-09-10,1193.0
2018-09-17,1199.699951171875
2018-09-24,1199.300048828125
2018-10-01,1191.5999755859375
2018-10-08,1201.0
2018-10-15,1222.4000244140625
2018-10-22,1224.5
2018-10-29,1224.5
2018-11-05,1230.5999755859375
2018-11-12,1201.5999755859375
2018-11-19,1223.0999755859375
2018-11-26,1220.199951171875
2018-12-03,1222.5
2018-12-10,1249.5999755859375
2018-12-17,1239.300048828125
2018-12-24,1239.300048828125
2018-12-31,1278.0
2019-01-07,1286.800048828125
2019-01-14,1292.4000244140625
2019-01-21,1292.4000244140625
2019-01-28,1300.800048828125
2019-02-04,1318.0999755859375
2019-02-11,1313.4000244140625
2019-02-18,1313.4000244140625
2019-02-25,1329.199951171875
2019-03-04,1285.5
2019-03-11,1291.0
2019-03-18,1297.300048828125
2019-03-25,1320.699951171875
2019-04-01,1291.800048828125
2019-04-08,1292.199951171875
2019-04-15,1284.800048828125
2019-04-22,1273.5
2019-04-29,1284.800048828125
2019-05-06,1282.199951171875
2019-05-13,1286.699951171875
2019-05-20,1276.0999755859375
2019-05-27,1276.0999755859375
2019-06-03,1307.0
2019-06-10,1335.800048828125
2019-06-17,1339.0
2019-06-24,1406.0
2019-07-01,1386.5999755859375
2019-07-08,1395.9000244140625
2019-07-15,1414.4000244140625
2019-07-22,1425.300048828125
2019-07-29,1419.5999755859375
2019-08-05,1440.4000244140625
2019-08-12,1496.0
2019-08-19,1507.199951171875
2019-08-26,1543.199951171875
2019-09-02,1543.199951171875
2019-09-09,1509.0
2019-09-16,1506.5999755859375
2019-09-23,1515.5
2019-09-30,1495.9000244140625
2019-10-07,1504.800048828125
2019-10-14,1484.4000244140625
2019-10-21,1489.9000244140625
2019-10-28,1504.0999755859375
2019-11-04,1511.5999755859375
2019-11-11,1461.0
2019-11-18,1472.0
2019-11-25,1457.0999755859375
2019-12-02,1462.800048828125
2019-12-09,1458.800048828125
2019-12-16,1473.800048828125
2019-12-23,1482.300048828125
2019-12-30,1512.5999755859375
